,Precinct,Address,zip_code
1,40,10454-1133,10454
2,44,10452-7800,10452
3,50,10463-4004,10463
4,49,10461-2251,10461
5,52,10467,10467
6,45,10465-1949,10465
7,46,10457-2919,10457
8,42,10451-4604,10451
9,48,10457-7401,10457
10,43,10473-4006,10473
11,41,10459-5204,10459
12,47,10466-4901,10466
14,81,11221-3607,11221
15,71,11225-3217,11225
16,79,11216-1220,11216
17,76,11231-3003,11231
18,60,11224-3615,11224
19,88,11205-4301,11205
20,94,11222-2636,11222
21,78,11217-2110,11217
22,72,11232-1702,11232
23,62,11214-4714,11214
24,73,11212,11212
25,83,11237-5132,11237
26,77,11213-2338,11213
27,66,11204-2111,11204
28,67,11226,11226
29,70,11230-1103,11230
30,61,11223-5027,11223
31,69,11236-2123,11236
32,84,11201-3003,11201
33,75,11208-3553,11208
34,68,11220-4927,11220
35,90,11211-7417,11211
36,63,11210-4240,11210
38,20,10024-5502,10024
39,1,10013,10013
40,Midtown Sou,10001-1701,10001
41,9,10003,10003
42,25,10035-3921,10035
43,5,10013,10013
44,13,10010-7460,10010
45,28,10027-5319,10027
46,17,10022,10022
47,7,10002,10002
48,24,10025-5146,10025
49,Central Park,10024,10024
50,Midtown Nor,10019-5102,10019
51,26,10027-2406,10027
52,10,10011,10011
53,6,10014,10014
54,19,10065,10065
55,32,10030-2802,10030
56,34,10033-3729,10033
57,30,10031,10031
58,23,10029-5721,10029
59,33,10032-2512,10032
61,112,11375-4242,11375
62,100,11693-1527,11693
63,101,11691-4202,11691
64,107,11365-4113,11365
65,105,11428-1474,11428
66,102,11418-2527,11418
67,108,11101,11101
68,111,11361,11361
69,109,11354-4117,11354
70,110,11373-2853,11373
71,115,11372-1747,11372
72,113,11434-2511,11434
73,104,11385-5257,11385
74,114,11103-4425,11103
75,106,11417-1707,11417
76,103,11432-5229,11432
78,123,10307-1227,10307
79,120,10301-1905,10301
80,122,10306-3207,10306
81,121,10314-1503,10314
