Borough,Month,Year,Admit_All_ages,Visit_All_ages
Bronx,1,2021,3.6940188339099764,10.39505909664301
Bronx,1,2022,3.2592958857730085,14.850406202419794
Bronx,2,2020,2.0466231344307784,14.403411282546971
Bronx,2,2021,5.354155303322,10.70581682215246
Bronx,2,2022,0.8653432185620563,4.6833272750995425
Bronx,3,2020,5.815827212899734,27.80424907669802
Bronx,3,2021,2.9552150671279795,9.070618197655776
Bronx,3,2022,0.7658331728837761,6.300104072223294
Bronx,4,2020,6.707947777625708,16.17402120288725
Bronx,4,2021,1.6153073413158374,7.890334131211367
Bronx,4,2022,0.8867897651892425,9.08901321014171
Bronx,5,2020,1.4415683254282834,4.1287417820469425
Bronx,5,2021,1.0226125308506893,4.937371514591869
Bronx,5,2022,1.1555071108511081,12.829958096311715
Bronx,6,2020,0.9589432631442729,2.923380433274772
Bronx,6,2021,0.882134700805047,5.1903967883779805
Bronx,6,2022,1.3034180275747398,12.759531477079857
Bronx,7,2020,0.948281664070793,3.2728105888239
Bronx,7,2021,1.0113502783082797,6.606437341376805
Bronx,7,2022,1.2478575816988575,12.50110032207339
Bronx,8,2020,0.9280096094944572,3.964312894927779
Bronx,8,2021,1.698347683395196,8.723740819349592
Bronx,8,2022,1.1600120118680708,10.534711028168873
Bronx,9,2020,0.8937723617655353,3.775257215582549
Bronx,9,2021,1.7130636933839432,9.207717351938694
Bronx,9,2022,1.2335920618118068,11.030175058351233
Bronx,10,2020,0.9370194115283839,3.9417883898429618
Bronx,10,2021,2.117303477972791,9.066113296638816
Bronx,10,2022,1.7208721884800129,15.674803088524099
Bronx,11,2020,1.3895367186823557,5.039107195891627
Bronx,11,2021,1.189368950161949,8.651437158027331
Bronx,11,2022,2.3289013286813343,24.977158694376016
Bronx,12,2020,2.070002017294675,6.712302515275445
Bronx,12,2021,2.5565313271267205,23.40971813465023
Brooklyn,1,2021,2.976230249065385,8.717619445437006
Brooklyn,1,2022,4.056565610140315,13.48982917337609
Brooklyn,2,2020,1.3404168936853151,8.587212609744965
Brooklyn,2,2021,2.876136419575205,8.216347406305706
Brooklyn,2,2022,1.0923787362809667,3.689198061262812
Brooklyn,3,2020,4.928327554684018,20.1804147563569
Brooklyn,3,2021,2.6252773745427773,8.549012192552478
Brooklyn,3,2022,0.8705130019297403,4.1989450681316915
Brooklyn,4,2020,6.565150113118814,13.210315816371955
Brooklyn,4,2021,2.079114769458308,6.654199721494123
Brooklyn,4,2022,1.0402026717463646,5.695303213916517
Brooklyn,5,2020,1.2876598349921995,3.0599094042006687
Brooklyn,5,2021,1.0541075661817803,3.9828779959167067
Brooklyn,5,2022,1.3800815884251982,9.066074434731696
Brooklyn,6,2020,0.6465775912468106,1.6570970602014075
Brooklyn,6,2021,0.84661656658265,3.5594031869435208
Brooklyn,6,2022,1.3925293831443284,8.458422221619951
Brooklyn,7,2020,0.6881673802916606,1.8884012323066988
Brooklyn,7,2021,1.0878290167586857,5.065711242219555
Brooklyn,7,2022,1.412554096388145,8.442852070365925
Brooklyn,8,2020,0.6169776512959714,1.9683335596001033
Brooklyn,8,2021,1.4375329486673336,7.353774110993279
Brooklyn,8,2022,1.3113897446574287,6.759277426748578
Brooklyn,9,2020,0.6904571084172527,2.128156582766448
Brooklyn,9,2021,1.3150949410788422,7.507269158248897
Brooklyn,9,2022,1.3099326449411424,7.04008135778713
Brooklyn,10,2020,0.8392894365807547,2.6427625711382103
Brooklyn,10,2021,1.390073129336875,7.271343898471955
Brooklyn,10,2022,1.5824102918866316,9.859152994595947
Brooklyn,11,2020,1.1705506492232678,3.2483748446471505
Brooklyn,11,2021,1.3176760891476917,6.845204678588989
Brooklyn,11,2022,2.093007419358291,15.038224145835464
Brooklyn,12,2020,2.2568393034247376,5.886266539590917
Brooklyn,12,2021,3.1323480758103166,19.025142838444395
Manhattan,1,2021,2.1509324341617093,5.890306684343397
Manhattan,1,2022,2.3450313094359716,9.144433746339429
Manhattan,2,2020,1.5074420742623134,7.249271997576068
Manhattan,2,2021,2.146759025400347,5.6245525027087755
Manhattan,2,2022,0.6293358940652704,2.5019939203082706
Manhattan,3,2020,4.072115179223277,17.415422553944683
Manhattan,3,2021,1.796404896670968,5.345641473114601
Manhattan,3,2022,0.5803160250546789,3.4838767510961777
Manhattan,4,2020,4.551684645207029,11.280973814919586
Manhattan,4,2021,1.3016508247984135,4.08505510424156
Manhattan,4,2022,0.7019909322419112,5.380566066658849
Manhattan,5,2020,0.9150375548643741,2.7847246799552163
Manhattan,5,2021,0.7664924972565214,2.7609574707379596
Manhattan,5,2022,0.9447465663859451,7.359912454277088
Manhattan,6,2020,0.5730538222382949,1.80511954005063
Manhattan,6,2021,0.6446855500180818,2.8591292488103517
Manhattan,6,2022,0.7715760392279899,6.193074521761003
Manhattan,7,2020,0.613986238112459,2.297496891001459
Manhattan,7,2021,0.7090550749814847,3.8304818855145024
Manhattan,7,2022,0.6674624588512861,5.662537596011355
Manhattan,8,2020,0.659540055778867,2.5787422000723272
Manhattan,8,2021,1.382459336137085,5.478341724577617
Manhattan,8,2022,0.8437359272126049,5.4228849030706865
Manhattan,9,2020,0.6385456876369573,2.5296233010233307
Manhattan,9,2021,1.518592628931482,5.42354510332672
Manhattan,9,2022,0.9537252898680196,6.025251616676931
Manhattan,10,2020,0.6892490673004377,2.7055006492310283
Manhattan,10,2021,1.8459199158735866,5.5793523637509574
Manhattan,10,2022,1.2992741038766868,8.548272915139911
Manhattan,11,2020,1.0274036384415153,3.3482716185066095
Manhattan,11,2021,0.7285970025601181,4.475959675839826
Manhattan,11,2022,1.599975902845996,12.445862214914913
Manhattan,12,2020,1.6260732306139638,4.488041340525265
Manhattan,12,2021,1.8479005166416924,14.54949324249717
Queens,1,2021,3.0504166925822336,7.4880298393317934
Queens,1,2022,2.961239777671477,11.635464135974926
Queens,2,2020,1.469247025576731,9.381391924382836
Queens,2,2021,2.8224695784481044,6.665165528672845
Queens,2,2022,0.9011216033357358,3.48851598091365
Queens,3,2020,6.55521099923356,26.358148135765084
Queens,3,2021,2.6738919407368162,7.117167113829916
Queens,3,2022,0.7926836880956153,4.573501778994522
Queens,4,2020,7.946795523817134,15.631769512798396
Queens,4,2021,2.027288532304535,5.634282414456762
Queens,4,2022,0.9478232099086142,6.672792412967744
Queens,5,2020,1.1352362818797916,2.924436606438466
Queens,5,2021,1.0616299394137698,3.881319058496746
Queens,5,2022,1.245645795578824,9.473985579328485
Queens,6,2020,0.716718167986452,1.8854075888459934
Queens,6,2021,0.7723003932588707,3.7722778678307334
Queens,6,2022,1.1335848575295921,9.330500395072612
Queens,7,2020,0.7318169049025591,2.0708861351497947
Queens,7,2021,0.9880235969477489,5.216141768986326
Queens,7,2022,1.2060116111740438,8.961572195238107
Queens,8,2020,0.7884371683379597,2.1713871027476315
Queens,8,2021,1.4027670266120615,6.682606591963214
Queens,8,2022,1.1097571633338619,7.172371870679432
Queens,9,2020,0.8454349001962637,2.3344534614415857
Queens,9,2021,1.3676152797292502,6.734225398795155
Queens,9,2022,1.1408983082233317,8.031631551864505
Queens,10,2020,0.9016776952087616,2.737589737101643
Queens,10,2021,1.3999360134402925,7.076117422839252
Queens,10,2022,1.4381546912591878,11.086247580651532
Queens,11,2020,1.3003315333468493,3.593829670903496
Queens,11,2021,1.1394356180845833,7.047241088487197
Queens,11,2022,1.6003550929829533,16.295228551615153
Queens,12,2020,2.3709735313574205,6.03430457562787
Queens,12,2021,2.3370013732961796,16.350516573557943
Staten Island,1,2021,4.884311260288472,11.252206662051526
Staten Island,1,2022,3.55653732545277,14.273569799483786
Staten Island,2,2020,1.9986688575746403,8.255371368243079
Staten Island,2,2021,3.390081700968994,8.340200998844074
Staten Island,2,2022,1.1625280169252095,3.412582243232062
Staten Island,3,2020,5.3246444529635735,17.89107633623003
Staten Island,3,2021,2.919747785276465,9.267320116608357
Staten Island,3,2022,0.8603433149190509,3.895255165972082
Staten Island,4,2020,6.209149640506335,13.531326104959133
Staten Island,4,2021,2.3520566845660986,7.861189454665861
Staten Island,4,2022,1.4280344156294176,6.748162630719403
Staten Island,5,2020,0.6842100378490086,3.4616963301073627
Staten Island,5,2021,1.171963728196819,3.786865457005902
Staten Island,5,2022,1.6055225640615363,9.836366088680803
Staten Island,6,2020,0.20300489241790723,1.68704065767985
Staten Island,6,2021,1.1690281735789838,3.7380900879711207
Staten Island,6,2022,1.8410443691692973,8.771211386194414
Staten Island,7,2020,0.6029177561243744,1.9645634750120056
Staten Island,7,2021,1.205835512248749,5.35174188020512
Staten Island,7,2022,1.8019789115627367,9.003120201003298
Staten Island,8,2020,0.9145381694021408,2.2423121042378416
Staten Island,8,2021,2.0119839726847095,9.450227750488795
Staten Island,8,2022,1.320999578025315,6.550803035643482
Staten Island,9,2020,1.0290247994976687,2.359056853270166
Staten Island,9,2021,1.421034246925352,8.72921037397001
Staten Island,9,2022,1.449034921741615,6.0271452542006285
Staten Island,10,2020,1.3074508644045422,3.1907220576919144
Staten Island,10,2021,1.4971328550953562,6.34079797452151
Staten Island,10,2022,1.90359426371853,8.589884435569742
Staten Island,11,2020,2.6670642762490577,6.517157063485232
Staten Island,11,2021,1.5960384645269958,8.834212904530999
Staten Island,11,2022,2.1618168056673692,12.563243950649797
Staten Island,12,2020,4.437203710802979,9.768622520576937
Staten Island,12,2021,2.5810299447571525,24.74672542834089
