,Brooklyn North,Brooklyn South,Bronx,Manhattan North,Manhattan South,Queens North,Queens South,Staten Island
0,75.0,61.0,40,19,1.0,108.0,100.0,120.0
1,77.0,62.0,41,20,5.0,109.0,101.0,121.0
2,79.0,63.0,42,22,6.0,110.0,102.0,122.0
3,81.0,66.0,43,23,7.0,111.0,103.0,123.0
4,83.0,67.0,44,24,9.0,112.0,105.0,
5,84.0,68.0,45,25,10.0,114.0,106.0,
6,88.0,69.0,46,26,13.0,115.0,107.0,
7,90.0,70.0,47,28,14.0,,113.0,
8,94.0,71.0,48,30,17.0,,,
9,,72.0,49,32,18.0,,,
10,,76.0,50,33,,,,
11,,,52,34,,,,
